date,arrivals_m,ma12,seasonal,residual
2010-01-01,2.39,,-2.3237283653846155,
2010-02-01,2.534,,-2.159052083333333,
2010-03-01,3.227,,-1.5593020833333333,
2010-04-01,3.988,,-0.6830328525641025,
2010-05-01,3.999,,-0.4604142628205128,
2010-06-01,5.035,,0.7126306089743589,
2010-07-01,7.259,4.396958333333333,3.3069350961538455,-0.44489342948717825
2010-08-01,7.373,4.413708333333332,3.641848557692308,-0.6825568910256399
2010-09-01,5.44,4.433374999999999,1.4833485576923078,-0.47672355769230634
2010-10-01,4.733,4.453958333333333,0.536707532051282,-0.2576658653846149
2010-11-01,2.889,4.486583333333332,-1.7948854166666668,0.19730208333333454
2010-12-01,3.81,4.526166666666666,-0.7010552884615383,-0.015111378205127424
2011-01-01,2.563,4.551333333333333,-2.3237283653846155,0.3353950320512826
2011-02-01,2.763,4.587583333333333,-2.159052083333333,0.3344687500000001
2011-03-01,3.47,4.633958333333333,-1.5593020833333333,0.3953437500000003
2011-04-01,4.239,4.665083333333333,-0.6830328525641025,0.2569495192307698
2011-05-01,4.531,4.687458333333334,-0.4604142628205128,0.30395592948717876
2011-06-01,5.453,4.710541666666667,0.7126306089743589,0.029827724358974517
2011-07-01,7.445,4.726,3.3069350961538455,-0.5879350961538452
2011-08-01,8.057,4.727083333333334,3.641848557692308,-0.31193189102564123
2011-09-01,5.869,4.726,1.4833485576923078,-0.340348557692308
2011-10-01,5.051,4.725458333333333,0.536707532051282,-0.2111658653846149
2011-11-01,3.108,4.726,-1.7948854166666668,0.1768854166666669
2011-12-01,4.145,4.728791666666666,-0.7010552884615383,0.11726362179487182
2012-01-01,2.599,4.754083333333333,-2.3237283653846155,0.16864503205128267
2012-02-01,2.753,4.769375,-2.159052083333333,0.14267708333333307
2012-03-01,3.454,4.768374999999999,-1.5593020833333333,0.24492708333333457
2012-04-01,4.242,4.782083333333333,-0.6830328525641025,0.14294951923076993
2012-05-01,4.541,4.790749999999999,-0.4604142628205128,0.21066426282051398
2012-06-01,5.51,4.800374999999999,0.7126306089743589,-0.003005608974358087
2012-07-01,7.995,4.813541666666667,3.3069350961538455,-0.125476762820512
2012-08-01,7.874,4.824625,3.641848557692308,-0.5924735576923084
2012-09-01,6.028,4.838708333333333,1.4833485576923078,-0.29405689102564114
2012-10-01,5.221,4.854,0.536707532051282,-0.16970753205128197
2012-11-01,3.146,4.863833333333333,-1.7948854166666668,0.07705208333333369
2012-12-01,4.338,4.87775,-0.7010552884615383,0.16130528846153858
2013-01-01,2.722,4.898874999999999,-2.3237283653846155,0.14685336538461602
2013-02-01,2.896,4.934583333333332,-2.159052083333333,0.12046875000000057
2013-03-01,3.649,4.9788749999999995,-1.5593020833333333,0.22942708333333384
2013-04-01,4.414,5.011541666666666,-0.6830328525641025,0.0854911858974361
2013-05-01,4.605,5.033499999999999,-0.4604142628205128,0.03191426282051402
2013-06-01,5.78,5.048166666666666,0.7126306089743589,0.0192027243589753
2013-07-01,8.232,5.062541666666666,3.3069350961538455,-0.13747676282051247
2013-08-01,8.494,5.077624999999999,3.641848557692308,-0.22547355769230748
2013-09-01,6.471,5.099666666666665,1.4833485576923078,-0.11201522435897271
2013-10-01,5.562,5.130958333333332,0.536707532051282,-0.10566586538461387
2013-11-01,3.332,5.1643333333333326,-1.7948854166666668,-0.037447916666665915
2013-12-01,4.504,5.199458333333332,-0.7010552884615383,0.005596955128205461
2014-01-01,2.901,5.2435,-2.3237283653846155,-0.01877163461538478
2014-02-01,3.079,5.293708333333333,-2.159052083333333,-0.05565624999999974
2014-03-01,3.995,5.332000000000001,-1.5593020833333333,0.22230208333333268
2014-04-01,4.819,5.359833333333333,-0.6830328525641025,0.1421995192307699
2014-05-01,5.001,5.382666666666667,-0.4604142628205128,0.07874759615384597
2014-06-01,6.227,5.403708333333334,0.7126306089743589,0.11066105769230716
2014-07-01,8.842,5.424250000000001,3.3069350961538455,0.11081490384615433
2014-08-01,9.089,5.444708333333334,3.641848557692308,0.002443108974358843
2014-09-01,6.795,5.461916666666667,1.4833485576923078,-0.15026522435897505
2014-10-01,5.906,5.483499999999999,0.536707532051282,-0.11420753205128165
2014-11-01,3.536,5.5187083333333335,-1.7948854166666668,-0.18782291666666673
2014-12-01,4.805,5.543166666666667,-0.7010552884615383,-0.037111378205129
2015-01-01,3.093,5.560875,-2.3237283653846155,-0.1441466346153848
2015-02-01,3.378,5.587999999999999,-2.159052083333333,-0.05094791666666598
2015-03-01,4.109,5.6167083333333325,-1.5593020833333333,0.05159375000000077
2015-04-01,5.223,5.638541666666666,-0.6830328525641025,0.2674911858974365
2015-05-01,5.442,5.658833333333332,-0.4604142628205128,0.2435809294871809
2015-06-01,6.373,5.677541666666666,0.7126306089743589,-0.017172275641024304
2015-07-01,9.121,5.696791666666666,3.3069350961538455,0.1172732371794889
2015-08-01,9.461,5.7192083333333334,3.641848557692308,0.09994310897435899
2015-09-01,7.112,5.747458333333334,1.4833485576923078,-0.1188068910256419
2015-10-01,6.113,5.784833333333333,0.536707532051282,-0.2085408653846148
2015-11-01,3.816,5.828666666666667,-1.7948854166666668,-0.21778125000000026
2015-12-01,4.974,5.881583333333333,-0.7010552884615383,-0.20652804487179488
2016-01-01,3.386,5.955916666666666,-2.3237283653846155,-0.2461883012820505
2016-02-01,3.623,6.0382083333333325,-2.159052083333333,-0.2561562499999992
2016-03-01,4.542,6.109375,-1.5593020833333333,-0.008072916666666874
2016-04-01,5.687,6.176125000000001,-0.6830328525641025,0.19390785256410203
2016-05-01,6.03,6.216875000000001,-0.4604142628205128,0.2735392628205122
2016-06-01,7.055,6.250958333333334,0.7126306089743589,0.09141105769230673
2016-07-01,10.223,6.287458333333333,3.3069350961538455,0.6286065705128219
2016-08-01,10.334,6.312333333333333,3.641848557692308,0.37981810897435864
2016-09-01,7.947,6.343583333333333,1.4833485576923078,0.12006810897435916
2016-10-01,6.88,6.3842083333333335,0.536707532051282,-0.04091586538461556
2016-11-01,4.027,6.422499999999999,-1.7948854166666668,-0.6006145833333325
2016-12-01,5.581,6.4677083333333325,-0.7010552884615383,-0.1856530448717938
2017-01-01,3.655,6.5305,-2.3237283653846155,-0.5517716346153847
2017-02-01,3.951,6.607791666666667,-2.159052083333333,-0.49773958333333423
2017-03-01,4.964,6.683583333333334,-1.5593020833333333,-0.16028125000000015
2017-04-01,6.24,6.733624999999999,-0.6830328525641025,0.18940785256410364
2017-05-01,6.396,6.769125,-0.4604142628205128,0.08728926282051286
2017-06-01,7.774,6.804083333333334,0.7126306089743589,0.2572860576923074
2017-07-01,11.011,6.824249999999999,3.3069350961538455,0.8798149038461545
2017-08-01,11.401,6.828333333333333,3.641848557692308,0.9308181089743588
2017-09-01,8.699,6.836791666666666,1.4833485576923078,0.37885977564102635
2017-10-01,7.329,6.836416666666666,0.536707532051282,-0.04412419871794793
2017-11-01,4.43,6.833708333333332,-1.7948854166666668,-0.6088229166666657
2017-12-01,6.017,6.845083333333331,-0.7010552884615383,-0.12702804487179276
2018-01-01,3.703,6.857374999999998,-2.3237283653846155,-0.8306466346153831
2018-02-01,4.001,6.8700416666666655,-2.159052083333333,-0.7099895833333321
2018-03-01,5.117,6.873041666666666,-1.5593020833333333,-0.1967395833333323
2018-04-01,6.078,6.874791666666666,-0.6830328525641025,-0.11375881410256317
2018-05-01,6.493,6.887458333333333,-0.4604142628205128,0.0659559294871801
2018-06-01,7.95,6.897083333333333,0.7126306089743589,0.34028605769230846
2018-07-01,11.13,6.901833333333333,3.3069350961538455,0.921231570512822
2018-08-01,11.586,6.905083333333334,3.641848557692308,1.0390681089743588
2018-09-01,8.586,6.906625000000001,1.4833485576923078,0.19602644230769162
2018-10-01,7.484,6.918458333333334,0.536707532051282,0.02883413461538442
2018-11-01,4.579,6.929333333333333,-1.7948854166666668,-0.5554479166666666
