lag,acf_raw,acf_diff1,acf_sdiff
0,1.0,1.0,1.0
1,0.818746102378016,0.15657865936745277,0.9414493863748008
2,0.5837757292750613,0.12179726929308697,0.8778509148112063
3,0.3051079169321866,-0.1799940346760497,0.7815377492226934
4,0.09064706641893158,-0.09379348046730726,0.6866292906303811
5,-0.09345574210862216,-0.21008836158329766,0.5681764849015641
6,-0.20044866877071257,-0.3955209871292113,0.44337542772494287
7,-0.1583003973411205,-0.22987988693140682,0.3362663973938815
8,-0.03333415756370588,-0.1105600665313887,0.24266164344065796
9,0.12596296269721136,-0.15975214716149233,0.16857652596308237
10,0.341155741586941,0.0930685926837581,0.09562731585806851
11,0.5194223164468391,0.1358859954689738,0.041647648153424206
12,0.6521030882459944,0.8331295509528285,-0.013349420702710146
13,0.4854542320148958,0.12880380412704365,-0.04750797894807582
14,0.27467580926208746,0.10914475203998164,-0.07047382587270845
15,0.024860792247140783,-0.15863056894140776,-0.09422558693992762
16,-0.16778285162107875,-0.0828280115243768,-0.12405967357474947
17,-0.33260504908713434,-0.19265552278134201,-0.16358345699772048
18,-0.42659197636198276,-0.34501354241299964,-0.2026422630482003
19,-0.39089033134026807,-0.20279947064937953,-0.24187587587837775
20,-0.2806882688123812,-0.10831935253651281,-0.2820035310149524
21,-0.137706304202504,-0.15136637515326756,-0.31185097317453475
22,0.05781808495517005,0.07528106732466529,-0.3322808232846417
23,0.22238663552878182,0.12567921302915847,-0.3276077606188289
24,0.34530142809383957,0.7321829141193704,-0.3283215887446724
25,0.20577423981993284,0.12015112055274177,-0.3010552036749219
26,0.0244453513187016,0.08856285423885607,-0.2795159758236846
27,-0.1879242535941252,-0.1561532581781296,-0.25262363801459015
28,-0.34390953112164274,-0.09112452640516903,-0.22983554900134048
29,-0.468084133641611,-0.18011692766922507,-0.20547192749176543
30,-0.5253333032622065,-0.319357034930424,-0.1835327898731655
