month,month_name,seasonal_coef,pct_2010,pct_2019,pct_2022,pct_2023
1,Январь,-2.3237283653846155,4.537084496079883,4.46375218108373,4.483798040693293,4.543104258719564
2,Февраль,-2.159052083333333,4.810448582872979,4.836627865286708,4.7629015601886735,4.772257215380276
3,Март,-1.5593020833333333,6.126013250564761,6.104644214451324,5.965837729213766,5.903920278273949
4,Апрель,-0.6830328525641025,7.570666514797729,7.614073666849919,7.696279550085126,7.519742408573846
5,Май,-0.4604142628205128,7.59154849364998,7.721633960370008,7.805129922688325,7.780624236156811
6,Июнь,0.7126306089743589,9.558251229189208,9.552549178956427,9.57464623628904,9.32828805114224
7,Июль,3.3069350961538455,13.780207680771491,13.552596983531325,13.512796896368862,14.024160947635611
8,Август,3.641848557692308,13.99662091614936,13.993594186963692,14.064026347372238,14.28856820532105
9,Сентябрь,1.4833485576923078,10.327087723294797,10.413031527117145,10.522202684975857,10.505781705368054
10,Октябрь,0.536707532051282,8.984945991609239,9.08525945933026,9.019230232493232,8.570320579110652
11,Ноябрь,-1.7948854166666668,5.484366991286518,5.334990558596458,5.473220017304419,5.405659490457835
12,Декабрь,-0.7010552884615383,7.232758129734039,7.327246217463013,7.119930782327165,7.3575726238601105
